Name,Ingredients,Level,FoodType,ImageSrc
Summer pisto frittata,"6 large free-range eggs 50 g freshly podded peas , plus a small handful for the salad 50 g freshly podded broad beans a few sprigs of fresh mint 1 lemon 20 g Parmesan cheese extra virgin olive oil ½ a small bunch of asparagus olive oil 10 g feta cheese Salad 2 ripe tomatoes a small handful of pea shoots a small handful of rocket optional 10 g feta cheese",not-too-tricky,eggs,"https://img.jamieoliver.com/jamieoliver/recipe-database/134795904.jpg?tr=w-800,h-1066"
Beautifully cheesy pasta fonduta,2 tablespoons mascarpone cheese 40 g blue cheese 40 g goats cheese 4 sprigs of fresh marjoram 1 lemon 250 g tagliolini 1 small bunch of fine asparagus sea salt freshly ground black pepper extra virgin olive oil,not-too-tricky,cheese,"https://img.jamieoliver.com/jamieoliver/recipe-database/134795904.jpg?tr=w-800,h-1066"
Quick crispy chicken with tomatoes & asparagus,"2 x 120 g free-range, skinless chicken breasts sea salt freshly ground black pepper 1 bunch of asparagus olive oil 4 rashers of higher-welfare pancetta 250 g cherry tomatoes , halved 5 black olives , destoned a couple of sprigs of fresh basil , leaves picked a small knob of butter a splash of white wine",not-too-tricky,chicken,"https://img.jamieoliver.com/jamieoliver/recipe-database/134795904.jpg?tr=w-800,h-1066"
Asian squash salad with crispy duck,"1 x 2 kg Gressingham duck ½ a bunch of fresh mint (15g) , leaves picked and chopped ROASTED SQUASH  1–2 dried red chillies , crumbled 1 teaspoon coriander seeds ½ teaspoon ground cinnamon 1 large butternut squash or 2 onion squash , quartered olive oil DRESSING  zest and juice of 1–2 limes 1 teaspoon sesame oil 1 tablespoon soy sauce 1 teaspoon soft brown sugar 1 fresh red chilli , deseeded and finely chopped 1 clove of garlic , peeled and finely grated 5 spring onions , white parts trimmed and finely sliced, green ends finely chopped 1 large bunch of fresh coriander, leaves picked and stalks finely chopped",not-too-tricky,duck,"https://img.jamieoliver.com/jamieoliver/recipe-database/134795904.jpg?tr=w-800,h-1066"
Bubble & squeak with sausages & onion gravy,"750 g floury potatoes , peeled and cut into chunks 600 g mixed winter vegetables (see the introduction) , peeled or trimmed and chopped into equal-sized chunks olive oil 2 knobs of butter 1 x 200 g vacuum pack of chestnuts 6 good-quality pork sausages , linked together 6 good-quality venison or beef sausages, , linked together ½ a bunch of rosemary (15g) , leaves picked and finely chopped 1 whole nutmeg , for grating 3 red onions , peeled and finely sliced a few bay leaves 1 tablespoon flour 125 ml balsamic vinegar 300 ml organic vegetable or chicken stock",not-too-tricky,pork,"https://img.jamieoliver.com/jamieoliver/recipe-database/134795904.jpg?tr=w-800,h-1066"
Cedro lemon bruschetta,"⅛ of a cedro lemon , (roughly 50g) 1 lemon 1 small bunch of fresh mint , leaves picked and finely chopped 50 g of rocket 1 fresh red chilli , finely sliced extra virgin olive oil 4 slices of sourdough bread 1 clove of garlic 4 ripe cherry tomatoes 1 x 125 g ball buffalo mozzarella sea salt freshly ground black pepper",not-too-tricky,fruit,"https://img.jamieoliver.com/jamieoliver/recipe-database/134795904.jpg?tr=w-800,h-1066"
Easy Essex haggis,"3 medium onions , peeled & quartered 3 sticks of celery , trimmed & roughly chopped 3 rashers of quality higher-welfare smoked streaky bacon 8 sprigs of fresh thyme , leaves picked olive oil 3 heaped teaspoons allspice 3 heaped teaspoons finely ground pepper 1 level teaspoon ground cloves 1 whole nutmeg 500 g chuck steak 500 g quality shoulder of lamb or mutton 1 higher-welfare pig’s or lamb’s heart 250 g lamb’s kidneys 250 g higher-welfare chicken livers 10 fresh bay leaves 1.5 litres organic beef stock 500 g pinhead oats (coarse ground oatmeal) 50 ml whisky 1 lemon 1 orange 2 tablespoons Worcestershire sauce",not-too-tricky,lamb,"https://img.jamieoliver.com/jamieoliver/recipe-database/134795904.jpg?tr=w-800,h-1066"
Southend-stylee pappardelle,"400 g higher-welfare sausages olive oil 1 bulb of fennel , trimmed and finely chopped ½ teaspoon fennel seeds 1 small dried red chilli 2 sprigs of fresh rosemary , leaves picked 250 ml white wine 1 x 700 ml jar of passata Parmesan cheese , for grating sea salt freshly ground pepper extra virgin olive oil For the pasta 4 large free-range eggs 400 g ‘00’ Tipo flour , plus extra for dusting sea salt",not-too-tricky,pasta,"https://img.jamieoliver.com/jamieoliver/recipe-database/134795904.jpg?tr=w-800,h-1066"
Ricotta fritters,"SAUCE 25 g dried porcini mushrooms 4 anchovy fillets, from sustainable sources , optional 1 dried red chilli 2 cloves of garlic 700g passata 8 black olives (stone in) ½ a bunch of fresh basil (15g) FRITTERS 1 large free-range egg 400 g ricotta cheese 1 whole nutmeg , for grating 1 lemon 40 g Parmesan cheese 1 heaped tablespoon plain flour olive oil balsamic vinegar SALAD 400 g firm green or yellow baby courgettes 1 tablespoon extra virgin olive oil 1 fresh red chilli ½ a bunch of fresh mint (15g) 1 lemon",not-too-tricky,cheese,"https://img.jamieoliver.com/jamieoliver/recipe-database/134795904.jpg?tr=w-800,h-1066"
Crackin' crab briks,"BRIKS 1-2 preserved lemons 2 spring onions ½ a bunch of fresh coriander 400 g pot-caught crabmeat (a mixture of brown & white meat) , from sustainable sources 2 teaspoons harissa , plus extra to serve 4 large sheets of filo pastry (from a 270g pack) olive oil SALAD ½ teaspoon caraway seeds ½ a mug (150g) couscous 2 teaspoons sun-dried tomato purée ½ a bulb of fennel ½ a bunch of fresh mint 1 lemon extra virgin olive oil 1 pomegranate SALSA 1 large ripe tomato 1 thumb-sized piece of ginger ½ a lemon TO SERVE fat-free natural yoghurt",not-too-tricky,seafood,"https://img.jamieoliver.com/jamieoliver/recipe-database/134795904.jpg?tr=w-800,h-1066"
