UserId,FavoriteType1,FavoriteType2,HateType
1,beef,chicken,seafood
2,pasta,fish,pork
3,fish,pasta,chicken
4,beef,fish,lamb
5,fish,vegetables,pasta
6,lamb,pork,pasta
7,pork,pasta,beef
8,fish,chicken,lamb
9,beef,vegetables,fish
10,lamb,beef,pork
11,chicken,pork,lamb
12,seafood,vegetables,pork
13,pasta,pork,chicken
14,vegetables,chicken,pork
15,chicken,pasta,beef
16,fish,seafood,pasta
17,fish,chicken,vegetables
18,chicken,lamb,pork
19,pork,seafood,beef
20,fish,vegetables,pork
21,fish,pork,beef
22,seafood,chicken,fish
23,fish,chicken,seafood
24,chicken,lamb,beef
25,vegetables,pasta,lamb
26,lamb,vegetables,fish
27,beef,lamb,fish
28,beef,fish,pasta
29,seafood,beef,vegetables
30,pork,fish,pasta
31,beef,chicken,vegetables
32,vegetables,beef,lamb
33,pork,beef,pasta
34,pasta,pork,vegetables
35,beef,fish,vegetables
36,pork,seafood,chicken
37,seafood,lamb,beef
38,beef,vegetables,pork
39,pork,seafood,fish
40,lamb,beef,fish
41,lamb,beef,seafood
42,lamb,beef,vegetables
43,beef,seafood,pork
44,pork,lamb,chicken
45,pasta,fish,beef
46,pork,fish,seafood
47,pork,seafood,chicken
48,pasta,vegetables,beef
49,vegetables,seafood,pasta
50,chicken,pork,beef
